"","census_tract_full","state_fips","county_fips","census_tract","census_block","zip","hisp_code","race_recode","income_recode","edu_recode","census_block_full","name","COUNTY","Location","census_block_full_name"
"1","06077003111","06","077","003111","1004","95207","Not Hispanic","White","$75,000 to $99,999","Some College or Associates Degree","060770031111004",NA,NA,NA,"Block: 1004,NA"
"2","55025000100","55","025","000100","2002","53705","Not Hispanic","White","$100,000 to $149,999","Bachelors Degree or Higher","550250001002002",1,"Dane","Census Tract 1, Dane County, Wisconsin","Block: 2002,Census Tract 1, Dane County, Wisconsin"
"3","55025000201","55","025","000201","1001","53705","Not Hispanic",NA,"Less than $25,000","High School Graduate (Includes Equivalency)","550250002011001",2.01,"Dane","Census Tract 2.01, Dane County, Wisconsin","Block: 1001,Census Tract 2.01, Dane County, Wisconsin"
"4","55025000204","55","025","000204","2000","53717","Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250002042000",2.04,"Dane","Census Tract 2.04, Dane County, Wisconsin","Block: 2000,Census Tract 2.04, Dane County, Wisconsin"
"5","55025000205","55","025","000205","4005","53717","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250002054005",2.05,"Dane","Census Tract 2.05, Dane County, Wisconsin","Block: 4005,Census Tract 2.05, Dane County, Wisconsin"
"6","55025000205","55","025","000205","4013","53717","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250002054013",2.05,"Dane","Census Tract 2.05, Dane County, Wisconsin","Block: 4013,Census Tract 2.05, Dane County, Wisconsin"
"7","55025000401","55","025","000401","2011","53711","Not Hispanic","White","Less than $25,000","High School Graduate (Includes Equivalency)","550250004012011",4.01,"Dane","Census Tract 4.01, Dane County, Wisconsin","Block: 2011,Census Tract 4.01, Dane County, Wisconsin"
"8","55025000401","55","025","000401","2010","53711","Not Hispanic","White","Less than $25,000","Some College or Associates Degree","550250004012010",4.01,"Dane","Census Tract 4.01, Dane County, Wisconsin","Block: 2010,Census Tract 4.01, Dane County, Wisconsin"
"9","55025000407","55","025","000407","2005","53711","Not Hispanic","Black or African American","$35,000 to $49,999","High School Graduate (Includes Equivalency)","550250004072005",4.07,"Dane","Census Tract 4.07, Dane County, Wisconsin","Block: 2005,Census Tract 4.07, Dane County, Wisconsin"
"10","55025000407","55","025","000407","4003","53711","Not Hispanic","White","Less than $25,000","High School Graduate (Includes Equivalency)","550250004074003",4.07,"Dane","Census Tract 4.07, Dane County, Wisconsin","Block: 4003,Census Tract 4.07, Dane County, Wisconsin"
"11","55025000409","55","025","000409","3000","53719","Not Hispanic","White","$150,000 to $199,999","Bachelors Degree or Higher","550250004093000",NA,NA,NA,"Block: 3000,NA"
"12","55025000501","55","025","000501","1015","53711","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250005011015",5.01,"Dane","Census Tract 5.01, Dane County, Wisconsin","Block: 1015,Census Tract 5.01, Dane County, Wisconsin"
"13","55025000501","55","025","000501","3004","53711","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250005013004",5.01,"Dane","Census Tract 5.01, Dane County, Wisconsin","Block: 3004,Census Tract 5.01, Dane County, Wisconsin"
"14","55025000501","55","025","000501","3006","53711","Not Hispanic","White","$35,000 to $49,999","Less than High School Diploma","550250005013006",5.01,"Dane","Census Tract 5.01, Dane County, Wisconsin","Block: 3006,Census Tract 5.01, Dane County, Wisconsin"
"15","55025000501","55","025","000501","1003","53711","Not Hispanic","Black or African American","Less than $25,000","High School Graduate (Includes Equivalency)","550250005011003",5.01,"Dane","Census Tract 5.01, Dane County, Wisconsin","Block: 1003,Census Tract 5.01, Dane County, Wisconsin"
"16","55025000504","55","025","000504","1003","53711","Not Hispanic","White","$50,000 to $74,999","Bachelors Degree or Higher","550250005041003",5.04,"Dane","Census Tract 5.04, Dane County, Wisconsin","Block: 1003,Census Tract 5.04, Dane County, Wisconsin"
"17","55025000504","55","025","000504","5005","53719","Hispanic",NA,"$25,000 to $34,999","High School Graduate (Includes Equivalency)","550250005045005",5.04,"Dane","Census Tract 5.04, Dane County, Wisconsin","Block: 5005,Census Tract 5.04, Dane County, Wisconsin"
"18","55025000700","55","025","000700","3004","53711","Not Hispanic","White","$100,000 to $149,999","Bachelors Degree or Higher","550250007003004",7,"Dane","Census Tract 7, Dane County, Wisconsin","Block: 3004,Census Tract 7, Dane County, Wisconsin"
"19","55025000700","55","025","000700","2004","53711","Hispanic",NA,"$100,000 to $149,999","Bachelors Degree or Higher","550250007002004",7,"Dane","Census Tract 7, Dane County, Wisconsin","Block: 2004,Census Tract 7, Dane County, Wisconsin"
"20","55025000800","55","025","000800","2008","53705","Not Hispanic","White","$100,000 to $149,999","Bachelors Degree or Higher","550250008002008",8,"Dane","Census Tract 8, Dane County, Wisconsin","Block: 2008,Census Tract 8, Dane County, Wisconsin"
"21","55025000800","55","025","000800","3004","53705","Not Hispanic","Black or African American","$35,000 to $49,999","High School Graduate (Includes Equivalency)","550250008003004",8,"Dane","Census Tract 8, Dane County, Wisconsin","Block: 3004,Census Tract 8, Dane County, Wisconsin"
"22","55025000901","55","025","000901","1004","53726","Hispanic","Latinx","Less than $25,000","Bachelors Degree or Higher","550250009011004",9.01,"Dane","Census Tract 9.01, Dane County, Wisconsin","Block: 1004,Census Tract 9.01, Dane County, Wisconsin"
